lexeme,type,definition_line_num,argument_offset,current_offset,return_type,no_of_arguments
ListOperations, CLASS, 1, -16, 0, ListOperations, -
__init__, CLASS_METHOD, 2, -24, 0, NONE, -
self, ListOperations, 2, -16, -, -, -
is_palindrome, CLASS_METHOD, 5, -32, 4, BOOL, -
self, ListOperations, 5, -16, -, -, -
data, LIST_INT, 5, -24, -, -, -
i, INT, 6, 4, -, -, -
find_max, CLASS_METHOD, 12, -32, 8, INT, -
self, ListOperations, 12, -16, -, -, -
nums, LIST_INT, 12, -24, -, -, -
max_val, INT, 15, 4, -, -, -
i, INT, 16, 8, -, -, -
reverse_list, CLASS_METHOD, 22, -32, 12, LIST_INT, -
self, ListOperations, 22, -16, -, -, -
items, LIST_INT, 22, -24, -, -, -
i, INT, 23, 4, -, -, -
j, INT, 24, 8, -, -, -
temp, INT, 26, 12, -, -, -
main, FUNCTION, 34, -16, 48, NONE, -
checker, ListOperations, 35, 8, -, -, -
a, LIST_INT, 36, 16, -, -, -
b, LIST_INT, 37, 24, -, -, -
c, BOOL, 38, 28, -, -, -
d, BOOL, 39, 32, -, -, -
items, LIST_INT, 43, 40, -, -, -
answer, INT, 44, 44, -, -, -
i, INT, 47, 48, -, -, -
